Participant's Number,Group,Order number,LOE,Human oriented Fluency of interaction,Adequacy of explanation,Trust,Total completion time
31,With Time Limit,1,Level 1,5,5,5,68.622
31,With Time Limit,1,Level 2,4.5,4.333333333,5,66.461
31,With Time Limit,1,Level 3,2.5,2.666666667,3.333333333,73.233
32,With Time Limit,1,Level 1,4,4,3.333333333,66.853
32,With Time Limit,1,Level 2,4,4,3.333333333,60.196
32,With Time Limit,1,Level 3,3.5,3,3,82.472
33,With Time Limit,1,Level 1,4,4,4.333333333,60.666
33,With Time Limit,1,Level 2,5,5,3.333333333,64.177
33,With Time Limit,1,Level 3,3,2.333333333,2.666666667,58.93
34,With Time Limit,1,Level 1,5,5,5,67.576
34,With Time Limit,1,Level 2,3,3.333333333,4.333333333,71.441
34,With Time Limit,1,Level 3,2,2.333333333,4.333333333,69.696
35,With Time Limit,1,Level 1,3.5,3.333333333,2.666666667,98.468
35,With Time Limit,1,Level 2,3.5,4,3.333333333,86.938
35,With Time Limit,1,Level 3,3.5,2,2.666666667,97.959
36,With Time Limit,2,Level 1,5,4.666666667,5,58.676
36,With Time Limit,2,Level 2,4.5,4.666666667,5,77.048
36,With Time Limit,2,Level 3,2,1.666666667,2.333333333,68.104
37,With Time Limit,2,Level 1,4.5,4.333333333,4,86.553
37,With Time Limit,2,Level 2,2.5,1.333333333,1.666666667,89.081
37,With Time Limit,2,Level 3,3.5,2.666666667,3.333333333,72.989
38,With Time Limit,2,Level 1,5,5,4.666666667,80.098
38,With Time Limit,2,Level 2,4.5,3.666666667,3,79.753
38,With Time Limit,2,Level 3,2,1.666666667,2.666666667,52.014
39,With Time Limit,2,Level 1,4,4.666666667,3.666666667,86.286
39,With Time Limit,2,Level 2,3,4,3,63.936
39,With Time Limit,2,Level 3,3.5,3,2.333333333,84.322
40,With Time Limit,2,Level 1,3.5,4,4.333333333,67.805
40,With Time Limit,2,Level 2,5,5,5,61.534
40,With Time Limit,2,Level 3,2.5,3.333333333,4,52.977
41,With Time Limit,3,Level 1,4.5,4.666666667,5,57.971
41,With Time Limit,3,Level 2,4.5,5,5,66.966
41,With Time Limit,3,Level 3,3.5,2.666666667,4.333333333,72.628
42,With Time Limit,3,Level 1,3,4,4.333333333,58.383
42,With Time Limit,3,Level 2,3,4,3.333333333,71.24
42,With Time Limit,3,Level 3,2.5,4,4.333333333,53.98
43,With Time Limit,3,Level 1,4.5,5,5,65.062
43,With Time Limit,3,Level 2,4,3.333333333,4,74.462
43,With Time Limit,3,Level 3,1.5,1,2.333333333,68.045
44,With Time Limit,3,Level 1,4.5,3.666666667,3.666666667,58.603
44,With Time Limit,3,Level 2,5,4,4,56.225
44,With Time Limit,3,Level 3,3,2,2.666666667,56.477
45,With Time Limit,3,Level 1,4.5,3.666666667,3.666666667,80.98
45,With Time Limit,3,Level 2,5,4,4,77.199
45,With Time Limit,3,Level 3,3,2,2.666666667,88.4415
46,With Time Limit,4,Level 1,4.5,4.333333333,2.666666667,79.698
46,With Time Limit,4,Level 2,4,3.333333333,2,103.271
46,With Time Limit,4,Level 3,4,3.333333333,2,100.461
47,With Time Limit,4,Level 1,3,4.333333333,3.666666667,82.262
47,With Time Limit,4,Level 2,4,3.666666667,4.333333333,71.252
47,With Time Limit,4,Level 3,3.5,3.666666667,3.666666667,74.675
48,With Time Limit,4,Level 1,5,4.333333333,4.333333333,90.712
48,With Time Limit,4,Level 2,3.5,3.333333333,3.666666667,87.066
48,With Time Limit,4,Level 3,2.5,2.333333333,2,104.905
49,With Time Limit,4,Level 1,5,4.666666667,4,59.02
49,With Time Limit,4,Level 2,4,3.666666667,3.333333333,75.126
49,With Time Limit,4,Level 3,2.5,2.333333333,2.333333333,101.111
50,With Time Limit,4,Level 1,4,4.333333333,3.333333333,55.454
50,With Time Limit,4,Level 2,4,4.333333333,3.333333333,62.22
50,With Time Limit,4,Level 3,1.5,1,1.333333333,110.498
51,With Time Limit,5,Level 1,2.5,2.666666667,3.333333333,74.307
51,With Time Limit,5,Level 2,5,5,4.666666667,52.825
51,With Time Limit,5,Level 3,4,3.333333333,3.333333333,49.27
52,With Time Limit,5,Level 1,5,5,5,48.621
52,With Time Limit,5,Level 2,4,4.333333333,4.333333333,52.378
52,With Time Limit,5,Level 3,2,2,2.333333333,79.129
53,With Time Limit,5,Level 1,4.5,4.333333333,4.333333333,72.7
53,With Time Limit,5,Level 2,4,4.666666667,4.333333333,63.307
53,With Time Limit,5,Level 3,1.5,1,1.333333333,90.245
54,With Time Limit,5,Level 1,5,4,4,98.215
54,With Time Limit,5,Level 2,5,5,5,72.528
54,With Time Limit,5,Level 3,4.5,3,2.666666667,108.406
55,With Time Limit,5,Level 1,4.5,3.666666667,2.666666667,84.252
55,With Time Limit,5,Level 2,5,4,3.666666667,81.183
55,With Time Limit,5,Level 3,2,1.333333333,2,103.94
56,With Time Limit,6,Level 1,5,4,3.666666667,67.18
56,With Time Limit,6,Level 2,4.5,3.666666667,3.333333333,76.758
56,With Time Limit,6,Level 3,1.5,1.666666667,1.666666667,131.657
57,With Time Limit,6,Level 1,5,4.666666667,4.666666667,57.863
57,With Time Limit,6,Level 2,3,3,2.333333333,73.817
57,With Time Limit,6,Level 3,4.5,4.333333333,2.666666667,70.851
58,With Time Limit,6,Level 1,4.5,4.666666667,3.666666667,47.73
58,With Time Limit,6,Level 2,5,5,3,63.581
58,With Time Limit,6,Level 3,2,3.666666667,2.333333333,116.49
59,With Time Limit,6,Level 1,4.5,4.666666667,5,55.431
59,With Time Limit,6,Level 2,4,3,3.666666667,69.673
59,With Time Limit,6,Level 3,3.5,2,2.333333333,89.237
60,With Time Limit,6,Level 1,5,4,3.666666667,67.188
60,With Time Limit,6,Level 2,4.5,3.666666667,3.333333333,58.065
60,With Time Limit,6,Level 3,1.5,1.666666667,1.666666667,81.043
