Participant's Number,Group,Order number,LOE,Collision with obstacles,Incorrect movements,Number of clarifications
31,With Time Limit,1,Level 1,0,0,0
31,With Time Limit,1,Level 2,0,0,0
31,With Time Limit,1,Level 3,0,2,0
32,With Time Limit,1,Level 1,0,0,0
32,With Time Limit,1,Level 2,0,0,1
32,With Time Limit,1,Level 3,1,3,3
33,With Time Limit,1,Level 1,0,0,0
33,With Time Limit,1,Level 2,0,0,0
33,With Time Limit,1,Level 3,2,3,0
34,With Time Limit,1,Level 1,0,0,0
34,With Time Limit,1,Level 2,0,1,0
34,With Time Limit,1,Level 3,0,2,0
35,With Time Limit,1,Level 1,0,1,0
35,With Time Limit,1,Level 2,0,1,1
35,With Time Limit,1,Level 3,2,5,2
36,With Time Limit,2,Level 1,0,0,0
36,With Time Limit,2,Level 2,0,2,0
36,With Time Limit,2,Level 3,1,3,1
37,With Time Limit,2,Level 1,0,0,1
37,With Time Limit,2,Level 2,0,1,1
37,With Time Limit,2,Level 3,1,4,1
38,With Time Limit,2,Level 1,0,0,0
38,With Time Limit,2,Level 2,1,1,0
38,With Time Limit,2,Level 3,1,3,0
39,With Time Limit,2,Level 1,0,0,0
39,With Time Limit,2,Level 2,1,1,0
39,With Time Limit,2,Level 3,3,6,2
40,With Time Limit,2,Level 1,0,0,0
40,With Time Limit,2,Level 2,0,0,0
40,With Time Limit,2,Level 3,1,3,1
41,With Time Limit,3,Level 1,0,0,0
41,With Time Limit,3,Level 2,0,0,1
41,With Time Limit,3,Level 3,1,3,2
42,With Time Limit,3,Level 1,0,0,0
42,With Time Limit,3,Level 2,0,0,0
42,With Time Limit,3,Level 3,1,3,0
43,With Time Limit,3,Level 1,0,0,0
43,With Time Limit,3,Level 2,0,0,0
43,With Time Limit,3,Level 3,1,5,1
44,With Time Limit,3,Level 1,0,0,0
44,With Time Limit,3,Level 2,0,0,0
44,With Time Limit,3,Level 3,1,2,0
45,With Time Limit,3,Level 1,1,0,0
45,With Time Limit,3,Level 2,1,1,1
45,With Time Limit,3,Level 3,2,3,1
46,With Time Limit,4,Level 1,0,1,0
46,With Time Limit,4,Level 2,0,0,0
46,With Time Limit,4,Level 3,1,5,2
47,With Time Limit,4,Level 1,0,1,0
47,With Time Limit,4,Level 2,0,0,0
47,With Time Limit,4,Level 3,1,2,1
48,With Time Limit,4,Level 1,0,0,0
48,With Time Limit,4,Level 2,0,0,1
48,With Time Limit,4,Level 3,1,5,3
49,With Time Limit,4,Level 1,0,0,0
49,With Time Limit,4,Level 2,0,0,0
49,With Time Limit,4,Level 3,0,5,2
50,With Time Limit,4,Level 1,0,0,0
50,With Time Limit,4,Level 2,0,0,1
50,With Time Limit,4,Level 3,2,3,3
51,With Time Limit,5,Level 1,0,0,0
51,With Time Limit,5,Level 2,0,1,0
51,With Time Limit,5,Level 3,1,4,0
52,With Time Limit,5,Level 1,0,0,0
52,With Time Limit,5,Level 2,0,0,0
52,With Time Limit,5,Level 3,0,2,1
53,With Time Limit,5,Level 1,0,0,0
53,With Time Limit,5,Level 2,0,0,0
53,With Time Limit,5,Level 3,1,4,1
54,With Time Limit,5,Level 1,0,0,1
54,With Time Limit,5,Level 2,0,1,0
54,With Time Limit,5,Level 3,0,4,2
55,With Time Limit,5,Level 1,0,0,0
55,With Time Limit,5,Level 2,0,0,0
55,With Time Limit,5,Level 3,0,5,3
56,With Time Limit,6,Level 1,0,0,0
56,With Time Limit,6,Level 2,0,0,0
56,With Time Limit,6,Level 3,2,4,2
57,With Time Limit,6,Level 1,0,0,0
57,With Time Limit,6,Level 2,0,1,1
57,With Time Limit,6,Level 3,0,2,1
58,With Time Limit,6,Level 1,0,0,0
58,With Time Limit,6,Level 2,0,0,0
58,With Time Limit,6,Level 3,1,6,0
59,With Time Limit,6,Level 1,0,0,0
59,With Time Limit,6,Level 2,0,0,0
59,With Time Limit,6,Level 3,1,4,1
60,With Time Limit,6,Level 1,0,0,0
60,With Time Limit,6,Level 2,0,0,0
60,With Time Limit,6,Level 3,1,5,1
