Participant's Number,Group,Order number,LOE,Human oriented Fluency of interaction,Adequacy of explanation,Trust,Total completion time
1,Without Time Limit,1,Level 1,4.5,3,4,111.71
1,Without Time Limit,1,Level 2,4.5,1.666666667,3,112.97
1,Without Time Limit,1,Level 3,4.5,1.333333333,3,106.44
2,Without Time Limit,1,Level 1,5,4.666666667,4.333333333,97.309
2,Without Time Limit,1,Level 2,4.5,4,4,90.981
2,Without Time Limit,1,Level 3,3,3.333333333,3.666666667,80.629
3,Without Time Limit,1,Level 1,4,3.666666667,4.333333333,65.666
3,Without Time Limit,1,Level 2,4,3.666666667,4.333333333,77.089
3,Without Time Limit,1,Level 3,3,1.333333333,1.666666667,106.056
4,Without Time Limit,1,Level 1,5,4,4.333333333,72.575
4,Without Time Limit,1,Level 2,4.5,4,4,101.197
4,Without Time Limit,1,Level 3,4.5,2.333333333,2.333333333,123.418
5,Without Time Limit,1,Level 1,4,4.666666667,4.333333333,65.302
5,Without Time Limit,1,Level 2,4,4.333333333,4.333333333,75.846
5,Without Time Limit,1,Level 3,3,3,3.666666667,143.91
6,Without Time Limit,2,Level 1,4.5,5,4,75.851
6,Without Time Limit,2,Level 2,4,4.666666667,4,60.088
6,Without Time Limit,2,Level 3,3.5,2.666666667,3,95.933
7,Without Time Limit,2,Level 1,5,5,4.666666667,63.718
7,Without Time Limit,2,Level 2,3.5,3.333333333,2.666666667,63.251
7,Without Time Limit,2,Level 3,1.5,1.333333333,1.333333333,69.816
8,Without Time Limit,2,Level 1,4,5,5,88.31
8,Without Time Limit,2,Level 2,3,3.333333333,3.666666667,107.585
8,Without Time Limit,2,Level 3,3,1,2.333333333,75.924
9,Without Time Limit,2,Level 1,3.5,5,5,103.361
9,Without Time Limit,2,Level 2,3.5,5,5,100.519
9,Without Time Limit,2,Level 3,4.5,5,5,57.062
10,Without Time Limit,2,Level 1,5,5,5,85.5
10,Without Time Limit,2,Level 2,5,4.666666667,4.666666667,95.247
10,Without Time Limit,2,Level 3,5,4,4.333333333,76.0099
11,Without Time Limit,3,Level 1,4.5,4.666666667,4.666666667,56.663
11,Without Time Limit,3,Level 2,4.5,4.666666667,4.666666667,64.642
11,Without Time Limit,3,Level 3,4,4,4.666666667,69.605
12,Without Time Limit,3,Level 1,5,4,4.333333333,88.861
12,Without Time Limit,3,Level 2,5,4,4.333333333,96.012
12,Without Time Limit,3,Level 3,4.5,2.333333333,2.333333333,158.003
13,Without Time Limit,3,Level 1,3.5,4,4.333333333,73.057
13,Without Time Limit,3,Level 2,4,4,4.333333333,79.085
13,Without Time Limit,3,Level 3,2.5,1.333333333,2.333333333,84.031
14,Without Time Limit,3,Level 1,3.5,3.666666667,3.333333333,76.691
14,Without Time Limit,3,Level 2,2.5,2.333333333,2.333333333,159.142
14,Without Time Limit,3,Level 3,2.5,3,2.666666667,81.403
15,Without Time Limit,3,Level 1,5,5,5,54.897
15,Without Time Limit,3,Level 2,5,5,5,73.924
15,Without Time Limit,3,Level 3,4.5,4.333333333,4.333333333,99.798
16,Without Time Limit,4,Level 1,4.5,5,4.333333333,61.3
16,Without Time Limit,4,Level 2,5,5,4.666666667,77.018
16,Without Time Limit,4,Level 3,2.5,2,3.333333333,91.365
17,Without Time Limit,4,Level 1,4,4.666666667,4.333333333,73.776
17,Without Time Limit,4,Level 2,4,4,4.333333333,52.125
17,Without Time Limit,4,Level 3,3,4.333333333,4,71.173
18,Without Time Limit,4,Level 1,3,3.333333333,2.666666667,78.223
18,Without Time Limit,4,Level 2,3,2,2,83.94
18,Without Time Limit,4,Level 3,3,2.333333333,2,97.126
19,Without Time Limit,4,Level 1,4,5,4.333333333,51.75
19,Without Time Limit,4,Level 2,3.5,4.333333333,4.333333333,81.933
19,Without Time Limit,4,Level 3,2.5,4,2.666666667,80.084
20,Without Time Limit,4,Level 1,5,3.666666667,4.333333333,60.956
20,Without Time Limit,4,Level 2,4,3,4,71.484
20,Without Time Limit,4,Level 3,1.5,1,1.333333333,88.887
21,Without Time Limit,5,Level 1,3,3,3,75.191
21,Without Time Limit,5,Level 2,4,4,3.666666667,100.096
21,Without Time Limit,5,Level 3,2.5,2,2,112.184
22,Without Time Limit,5,Level 1,5,4.666666667,4.333333333,90.452
22,Without Time Limit,5,Level 2,4,3.666666667,3,71.09
22,Without Time Limit,5,Level 3,1.5,1,1.666666667,109.432
23,Without Time Limit,5,Level 1,4.5,4.666666667,3.666666667,63.581
23,Without Time Limit,5,Level 2,5,4.666666667,4.333333333,72.149
23,Without Time Limit,5,Level 3,4,4.666666667,4,118.404
24,Without Time Limit,5,Level 1,3.5,3.666666667,3,98.978
24,Without Time Limit,5,Level 2,3.5,2.666666667,2.666666667,107.676
24,Without Time Limit,5,Level 3,3,1.666666667,2,169.083
25,Without Time Limit,5,Level 1,4.5,5,3.333333333,79.683
25,Without Time Limit,5,Level 2,5,5,4,77.284
25,Without Time Limit,5,Level 3,3.5,4.666666667,3.333333333,145.986
